------------------------------------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                        | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                                                                           
------------------------------------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
All files                                                   |   50.88 |    34.21 |   37.66 |   49.48 |                                                                                                                                                                             
 lmu-steward                                                |     100 |      100 |     100 |     100 |                                                                                                                                                                             
  constants.ts                                              |     100 |      100 |     100 |     100 |                                                                                                                                                                             
 lmu-steward/.erb/configs                                   |     100 |      100 |     100 |     100 |                                                                                                                                                                             
  webpack.paths.ts                                          |     100 |      100 |     100 |     100 |                                                                                                                                                                             
 lmu-steward/src/renderer                                   |     100 |    33.33 |     100 |     100 |                                                                                                                                                                             
  App.tsx                                                   |     100 |    33.33 |     100 |     100 | 23                                                                                                                                                                          
  theme.ts                                                  |     100 |      100 |     100 |     100 |                                                                                                                                                                             
 lmu-steward/src/renderer/components                        |      60 |      100 |       0 |      50 |                                                                                                                                                                             
  TrackMap.tsx                                              |      60 |      100 |       0 |      50 | 4-5                                                                                                                                                                         
 lmu-steward/src/renderer/components/CarClassBadge          |   66.66 |        0 |       0 |   57.14 |                                                                                                                                                                             
  CarClassBadge.tsx                                         |   66.66 |        0 |       0 |   57.14 | 12,16-18                                                                                                                                                                    
 lmu-steward/src/renderer/components/Common                 |   63.28 |     18.6 |   40.62 |   60.83 |                                                                                                                                                                             
  AiBadge.tsx                                               |      75 |      100 |       0 |   66.66 | 4                                                                                                                                                                           
  AppExitConfirmDialog.tsx                                  |      60 |    33.33 |   33.33 |   58.62 | 33,37-38,46-47,55-56,67-72,98                                                                                                                                               
  BlockQuote.tsx                                            |      60 |      100 |       0 |      50 | 20-32                                                                                                                                                                       
  LmuDisconnectedDialog.tsx                                 |    62.5 |    35.29 |   66.66 |   61.81 | 46-65,80-81,93-94,104-106,110                                                                                                                                               
  ReplayProcessingSplash.tsx                                |     100 |      100 |     100 |     100 |                                                                                                                                                                             
  ReplaySubtitle.tsx                                        |   55.55 |        0 |       0 |   55.55 | 9-20                                                                                                                                                                        
  SegmentedButtonGroup.tsx                                  |      50 |        0 |       0 |   44.44 | 30-51                                                                                                                                                                       
  StatDisplay.tsx                                           |      75 |        0 |       0 |   66.66 | 14                                                                                                                                                                          
  ViewHeader.tsx                                            |      80 |        0 |       0 |      75 | 20                                                                                                                                                                          
 lmu-steward/src/renderer/components/Dashboard              |   35.46 |        0 |    1.61 |   35.44 |                                                                                                                                                                             
  DashboardControls.tsx                                     |      70 |      100 |       0 |   66.66 | 35-39                                                                                                                                                                       
